# k1/kF k2/kF k3/kF P(k1) P(k2)       P(k3)       B0        BSN    N_tr    B2      B4
# 
9 5 3 1.51647842e+02 2.49657516e+02 4.02876801e+02 2.56848500e+05 0.00000000e+00 3.68000000e+02 -2.89386500e+05 -5.65225312e+05
9 5 4 1.51647842e+02 2.49657516e+02 2.98621796e+02 1.94257969e+05 0.00000000e+00 9.87000000e+03 -3.58565250e+05 1.85957688e+05
9 5 5 1.51647842e+02 2.49657516e+02 2.49657516e+02 1.84011797e+05 0.00000000e+00 2.37360000e+04 -4.39765094e+05 5.28990125e+05
9 6 2 1.51647842e+02 2.07778030e+02 2.85095215e+02 3.47109570e+04 0.00000000e+00 6.96000000e+02 6.25608672e+04 -4.01965531e+05
9 6 3 1.51647842e+02 2.07778030e+02 4.02876801e+02 2.40418953e+05 0.00000000e+00 7.59000000e+03 -5.06169219e+05 4.37719531e+05
9 6 4 1.51647842e+02 2.07778030e+02 2.98621796e+02 8.88527188e+04 0.00000000e+00 1.90560000e+04 -1.69690172e+05 9.66897500e+04
9 6 5 1.51647842e+02 2.07778030e+02 2.49657516e+02 7.38453047e+04 0.00000000e+00 2.53680000e+04 -1.61112531e+05 1.54966109e+05
9 6 6 1.51647842e+02 2.07778030e+02 2.07778030e+02 3.77183125e+04 0.00000000e+00 2.71680000e+04 -1.07190773e+05 1.74527344e+05
9 7 1 1.51647842e+02 1.90599930e+02 1.49714310e+02 6.33633688e+05 0.00000000e+00 3.36000000e+02 -1.40310988e+06 1.43029338e+06
9 7 2 1.51647842e+02 1.90599930e+02 2.85095215e+02 1.03740109e+05 0.00000000e+00 8.10200000e+03 -2.89178438e+05 4.64026094e+05
9 7 3 1.51647842e+02 1.90599930e+02 4.02876801e+02 2.28259391e+05 0.00000000e+00 1.33440000e+04 -4.41297938e+05 2.72275062e+05
9 7 4 1.51647842e+02 1.90599930e+02 2.98621796e+02 1.10447547e+05 0.00000000e+00 2.23920000e+04 -2.39576703e+05 2.26149500e+05
9 7 5 1.51647842e+02 1.90599930e+02 2.49657516e+02 7.21521328e+04 0.00000000e+00 2.95920000e+04 -1.36944688e+05 7.57990312e+04
9 7 6 1.51647842e+02 1.90599930e+02 2.07778030e+02 1.40615352e+04 0.00000000e+00 3.13920000e+04 -5.18382422e+04 1.14262414e+05
9 7 7 1.51647842e+02 1.90599930e+02 1.90599930e+02 2.17999414e+04 0.00000000e+00 3.68160000e+04 -7.13859219e+04 1.33203422e+05
